"strategy","score","type","cluster"
21,42.9300434514994,1,2
57,42.7992917330503,1,2
43,42.7364682795142,1,2
51,42.5424871834259,1,2
16,41.6282500256578,1,2
29,41.5413210252228,1,2
88,41.3483489186989,1,2
63,40.9555448843398,1,2
80,40.3077807386129,1,2
24,40.2359914749824,1,2
49,39.9714011525832,1,2
67,39.9533323719952,1,2
64,39.5166615155895,1,2
75,39.249767896477,1,2
42,39.0690610065177,1,2
76,38.8739929343645,1,2
87,38.0247098108431,1,2
62,37.3209006460533,1,2
18,37.1948137722968,1,2
48,37.1900316952295,1,2
17,37.0939960041623,1,2
59,35.9402810662743,0,2
72,34.6360068077461,1,2
58,34.3358218542634,1,2
89,34.0736295552632,1,2
31,31.7773719928248,0,1
45,31.6823739726192,0,1
33,31.6697600818941,1,1
60,31.591303376264,0,1
37,30.7895355525839,1,1
84,30.7618169648851,1,1
32,30.736556152554,1,1
44,30.4846527535567,0,1
69,29.2806719955757,1,1
34,29.1958072775103,1,1
8,27.2788168930295,1,1
11,27.249175468905,0,1
54,27.2297031490773,1,1
5,27.2109065734124,1,1
7,27.1949691746367,0,1
10,27.1896392977507,1,1
14,27.1637525799076,1,1
46,27.1405908951278,0,1
12,27.1059393073297,0,1
4,27.0734389287353,0,1
36,27.0284888416928,1,1
79,25.8378308703035,1,1
65,25.8115652764437,1,1
56,25.5360421683303,1,1
55,25.4516345349725,1,1
26,23.4499749339158,1,1
78,22.9177858678393,1,1
73,19.7705002464708,1,1
27,11.7931741923901,2,0
61,10.2257485891986,0,0
86,2.48993622407718,0,0
66,0.598065303721637,2,0
74,0.400481983270784,0,0
30,0,3,0
28,-0.601498593166643,2,0
22,-1.09212268870998,2,0
53,-1.31470853174289,2,0
23,-2.15552043539376,2,0
70,-2.67189697027729,2,0
39,-16.4781,0,0
